Component	initialized classification	Node 0	Node 1	Node 2	Node 4	Node 5	Node 7	Node 9	Node 10	Node 17	Node 18	Node 21	Node 22	Node 24	Node 25	Node 26	Node 27
ICA_00	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected
ICA_01	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted	accepted	accepted	accepted	accepted	accepted	accepted
ICA_02	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_03	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_04	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_05	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted	accepted	accepted	accepted	accepted	accepted
ICA_06	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_07	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_08	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_09	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_10	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_11	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected
ICA_12	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_13	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_14	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_15	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_16	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected
ICA_17	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_18	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_19	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted
ICA_20	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_21	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_22	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_23	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_24	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_25	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted
ICA_26	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_27	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_28	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_29	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted
ICA_30	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclass_highvar	unclass_highvar	unclass_highvar	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_31	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_32	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	accepted	accepted	accepted	accepted	accepted	accepted	accepted
