Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	38.1509652841649	17.88826040720282	60.32664284733185	0.37527944805859054	7090	4050	0.5824088173446451	0.2574842605679044	1119	-1.6686272390033996	0.10820466756939678	24.0	-1	0.5977989743814425	accepted	n/a
PCA_01	67.0896143723201	23.80082732113891	7.520962251286758	0.07771400236575399	8426	6873	0.6882225656877898	0.5415996490715017	1237	13.093541174560817	2.205997368253951e-28	12.8	1	0.06846624847729063	accepted	n/a
PCA_02	125.53990441881764	30.434145541809574	8.87926246919072	0.05795109544030392	9187	7031	0.7492354740061162	0.6359802730326638	270	1.6474796096583801	0.10022387608028378	9.0	1	0.05836936133343941	accepted	n/a
PCA_03	117.35014221222693	19.92505809119863	4.306934845796846	0.049097735804985124	9805	7595	0.7610526315789473	0.6143528761061947	838	11.497144391814876	3.175691394424674e-29	5.0	1	0.04038703679191125	accepted	n/a
PCA_04	61.66718175753505	25.268848063353506	2.700606361588695	0.03198804117650062	9857	8045	0.7296792276549362	0.623128549303046	899	2.3502640687345253	0.018979167145149845	12.2	-1	0.027210108201579503	accepted	n/a
PCA_05	128.03498483692312	19.673896963981985	2.2003505994145613	0.02843468136315245	10860	8463	0.8078960941529516	0.6952915345206148	759	11.603079689209341	1.150816047154596e-29	2.6	1	0.028114302278710663	accepted	n/a
PCA_06	72.81746709622846	20.714266095175045	1.5567376605863943	0.02212848804919417	9882	7643	0.7529411764705882	0.6148643985922296	725	8.191835467212252	5.951028992461612e-16	6.6	-1	0.01862205875736268	accepted	n/a
PCA_07	40.50429530357453	23.64773171274417	1.4571786839846037	0.01894179059273887	7800	5857	0.6500169664065151	0.5075764288879043	717	0.8185466893764844	0.41319028439136785	17.9	-1	0.016009315939421717	accepted	n/a
PCA_08	76.2712921821808	19.32265313916314	1.7171831191287186	0.01723016669611397	11166	9079	0.7967322961127175	0.6910773449103165	739	13.781723250676206	1.7931133095925211e-40	2.2	1	0.02112184970786579	accepted	n/a
PCA_09	53.94825803451912	23.093383193458145	0.9038549202417615	0.01562768496741842	7895	6457	0.6376850425346641	0.5070851012729165	1124	10.532317316855165	2.3909594680819047e-22	16.4	1	0.011893039271867866	accepted	n/a
PCA_10	39.3567371514422	23.514254118176094	0.8053227663866106	0.013887005544606486	7443	5803	0.6613792176367791	0.5215616681455191	1075	5.1156913958450705	4.138891134731049e-07	19.8	1	0.010790060111136205	accepted	n/a
PCA_11	53.19795526007413	19.930801660553758	0.7962791344566131	0.0128372153942731	7887	5568	0.7288996065490545	0.5661360886158429	1026	8.16614914382133	1.8725149442882996e-15	13.0	1	0.00958776016290987	accepted	n/a
PCA_12	41.383943970705836	30.37408279648676	0.6630088496775774	0.011194383093170565	7566	6105	0.6955827567855242	0.5542168674698795	1277	0.5527124798743182	0.5813401284585925	21.6	-1	0.008332575044818267	accepted	n/a
PCA_13	86.00188296657126	19.191296983869353	0.6178485644391182	0.0093940349490893	8177	6277	0.7825093609189566	0.6689254598257502	717	10.809369135490684	3.544488326018369e-26	5.3	-1	0.007047353726398843	accepted	n/a
PCA_14	61.62418832991566	18.507289817748056	0.6218234786905065	0.008697052754644859	8556	7334	0.768619783711126	0.6677660963375249	1050	13.448049879700905	8.329293444442997e-37	7.2	1	0.008571610225696616	accepted	n/a
PCA_15	50.45419307143875	17.687965945697947	0.43141142404970256	0.007834862141332836	6976	5312	0.7496012759170654	0.57973276114308	1118	11.287910700440008	3.2886285596037165e-26	13.2	1	0.005769429039520277	accepted	n/a
PCA_16	65.80990460937404	17.97287890920529	0.46325493530509093	0.007607406256874441	7674	5998	0.760946423714985	0.6275723607160782	864	11.710894825288642	4.854295243483722e-30	7.8	-1	0.005965315912536129	accepted	n/a
PCA_17	61.014418430940445	16.711923102739085	0.36211474887701883	0.007063724200537146	7879	5517	0.7954214635437343	0.6259415763365791	910	6.790507069771845	1.713707044557159e-11	10.8	1	0.00528787117331105	accepted	n/a
PCA_18	40.370438670789866	18.795524585596848	0.3604274583056376	0.006529199998267954	6229	5045	0.7140735852169608	0.5628705148205928	1134	8.526626766104059	1.3386563223472532e-16	18.2	1	0.0048862693463546086	accepted	n/a
PCA_19	42.63283678146638	16.292885921554827	0.38612515720971335	0.006169504941839545	6780	5206	0.752576555201305	0.6083506892789844	860	8.103001622036526	1.2664051066433847e-15	13.6	1	0.005028027457448567	accepted	n/a
PCA_20	43.53625989544414	15.719149426058753	0.5191681284296779	0.0056965131618509895	6825	4871	0.7604120676968359	0.5893443491155598	987	5.416123987209935	7.961183806507838e-08	14.4	1	0.00471624979532598	accepted	n/a
PCA_21	37.33009891704675	16.013717480182592	0.26449083450316646	0.005170180563473866	5891	4799	0.7304803493449782	0.5806240453851189	1043	10.372907664566243	1.0754214841330372e-23	16.6	-1	0.003951720024246572	accepted	n/a
PCA_22	28.812146485235868	16.844712457909452	0.20877495647390604	0.004911745660615899	5297	3839	0.6706704735650291	0.5290392130440641	1076	8.107158065702082	1.825597192973044e-15	21.2	1	0.003614566465383078	accepted	n/a
PCA_23	35.85390957017005	17.847432283467796	0.2619058056612747	0.004746539362186227	5194	4076	0.6980115584288373	0.546308890812415	1172	10.935395419343829	5.338032102553257e-25	19.6	-1	0.0034636205510229887	accepted	n/a
PCA_24	41.518933554240384	13.855857941308757	0.2560220351650444	0.004393581475280858	6463	4591	0.7436383752173226	0.6180351106749536	1178	17.09658522880016	4.255213218867784e-50	14.4	1	0.0036635795958505843	accepted	n/a
PCA_25	29.840072216817696	15.624658302426214	0.16876435137597343	0.0039573025231229636	4784	3908	0.6797287113790504	0.5532525094511798	1305	11.640255855991592	4.008522080543668e-25	21.6	1	0.002958469973634058	accepted	n/a
PCA_26	27.09609821186977	16.79775822232179	0.19961628015022068	0.003821250502885313	4944	3880	0.6933605720122574	0.54280658772288	1142	-1.117995259639672	0.26414636571415023	25.2	1	0.002872425894970163	accepted	n/a
PCA_27	27.4185631088913	15.411516217296791	0.18860300609548092	0.003637229499100105	5210	4213	0.7194552529182879	0.5761572921851668	1182	7.305478338995289	1.6848617713533032e-12	21.8	-1	0.0028468176624156234	accepted	n/a
PCA_28	24.499432599885242	15.205321753046794	0.17355393363828003	0.003628044098587869	4302	3239	0.67724609375	0.5248341692282802	1307	3.7080079450746832	0.0002742050319946849	27.2	1	0.0026783957722840202	accepted	n/a
PCA_29	21.35349456208342	15.003462967223875	0.20866833057206088	0.0035107488144604355	4363	3426	0.6507826887661142	0.5146216017634092	1212	4.242176702377433	2.8526251349740843e-05	27.0	1	0.0026829817193460893	accepted	n/a
PCA_30	27.00674191924368	13.899841314670144	0.1962801636229538	0.003436715716669512	3986	2780	0.6399692937563971	0.47032390938026586	1358	7.25916248564712	8.07456938568288e-11	28.0	-1	0.0025453933566155283	accepted	n/a
PCA_31	20.635315365741135	14.705244897849925	0.14143255671113011	0.0033526146680581963	3835	3278	0.6378006872852233	0.4927400468384075	1345	2.36975412506426	0.01910979096795877	30.0	1	0.0024714074274478303	accepted	n/a
PCA_32	24.130479375592536	14.828769807225926	0.13538934165233474	0.0031278962778780676	4190	3144	0.68	0.5473104342190538	1355	1.0334181038741581	0.30463664042638705	28.4	-1	0.002275804420435195	accepted	n/a
